,Identifier,Start date,End date,Number of deaths,Incident,State
6404,IBD025439,2022-10-17,2022-10-17,1,Auto Crash,Kaduna
6405,IBD025481,2022-10-17,2022-10-17,1,Snake Bite,Plateau
6406,IBD025432,2022-10-17,2022-10-17,1,Banditry,Plateau
6407,IBD025406,2022-10-16,2022-10-16,14,Auto Crash,Kaduna
6408,IBD025417,2022-10-16,2022-10-16,2,Gunmen Attack,Kogi
6409,IBD025416,2022-10-16,2022-10-16,3,Factory Workers,Ogun
6410,IBD025467,2022-10-16,2022-10-16,1,Flooding,Akwa Ibom
6411,IBD025814,2022-10-16,2022-10-16,1,Political Issue,Ebonyi
6412,IBD025421,2022-10-16,2022-10-16,6,Troops vs Boko Haram,Borno
6413,IBD025418,2022-10-16,2022-10-16,5,Auto Crash,Kogi
6414,IBD025532,2022-10-16,2022-10-16,1,Police Brutality,Kaduna
6415,IBD025414,2022-10-16,2022-10-16,1,Police vs Colleague,Abia
6416,IBD025491,2022-10-16,2022-10-16,1,Hospital Negligence,Enugu
6417,IBD025424,2022-10-16,2022-10-16,1,Man vs Mother-in-Law,Niger
6418,IBD025435,2022-10-16,2022-10-16,1,Girl Drowns,Jigawa
6419,IBD025541,2022-10-16,2022-10-16,1,Extrajudicial Killing,Kaduna
6420,IBD025464,2022-10-16,2022-10-16,2,Flooding,Akwa Ibom
6421,IBD025430,2022-10-15,2022-10-15,1,Inferno,Lagos
6422,IBD025401,2022-10-15,2022-10-15,1,Political Violence,Zamfara
6423,IBD025411,2022-10-15,2022-10-15,3,Auto Crash,Lagos
6424,IBD025402,2022-10-15,2022-10-15,11,Auto Crash,Bauchi
6425,IBD025460,2022-10-15,2022-10-15,1,Drug Addict vs Lady,Osun
6426,IBD025404,2022-10-15,2022-10-15,2,Cult Clash,Plateau
6427,IBD025407,2022-10-15,2022-10-15,1,Flooding,Delta
6428,IBD025409,2022-10-15,2022-10-15,1,Cult Clash,Osun
6429,IBD025522,2022-10-15,2022-10-15,1,Auto Crash,Oyo
6430,IBD025935,2022-10-15,2022-10-15,1,Medical Negligence,Ogun
6431,IBD025405,2022-10-15,2022-10-15,1,Mob vs Thief,Plateau
6432,IBD025422,2022-10-15,2022-10-15,1,Vigilante vs Youth Leader,Rivers
6433,IBD025977,2022-10-15,2022-10-15,1,Extra Judicial Killing,Rivers
6434,IBD025394,2022-10-14,2022-10-14,1,Flooding,Rivers
6435,IBD025400,2022-10-14,2022-10-14,1,Teenager vs Father,Delta
6436,IBD025423,2022-10-14,2022-10-14,3,Police vs Robbers,Benue
6437,IBD025403,2022-10-14,2022-10-15,4,Gunmen Kill 4,Plateau
6438,IBD025398,2022-10-14,2022-10-14,1,Sex Romp,Lagos
6439,IBD025515,2022-10-14,2022-10-14,1,Man vs Girlfriend,Lagos
6440,IBD025494,2022-10-14,2022-10-14,1,Flood Victim,(FCT) Abuja
6441,IBD025399,2022-10-14,2022-10-14,22,Boat Capsized,Niger
6442,IBD025391,2022-10-14,2022-10-14,3,Auto Crash,Rivers
6443,IBD025386,2022-10-13,2022-10-13,1,Lady vs Boyfriend,Nasarawa
6444,IBD025384,2022-10-13,2022-10-13,1,Man vs Wife,Ondo
6445,IBD025408,2022-10-13,2022-10-13,1,Bandits Kill 1,Niger
6446,IBD025462,2022-10-13,2022-10-13,1,One Killed,Anambra
6447,IBD025447,2022-10-13,2022-10-13,1,Man vs Neighbour,Lagos
6448,IBD025389,2022-10-13,2022-10-13,1,Flooding,Anambra
6449,IBD025379,2022-10-13,2022-10-13,3,Auto Crash,Plateau
6450,IBD025392,2022-10-13,2022-10-13,1,Man vs Lover,Akwa Ibom
6451,IBD025605,2022-10-13,2022-10-13,10,Bandits vs Farmers,Zamfara
6452,IBD025369,2022-12-10,2022-12-10,5,Herders vs Farmers,Benue
6453,IBD025377,2022-12-10,2022-12-10,3,Gunmen Attack,Anambra
6454,IBD025383,2022-12-10,2022-12-10,6,Flooding,Rivers
6455,IBD025382,2022-12-10,2022-12-10,2,Police vs Bandits,Katsina
6456,IBD025378,2022-12-10,2022-12-10,1,Kidnappers vs Man,(FCT) Abuja
6457,IBD025381,2022-12-10,2022-12-10,1,Auto Crash,Lagos
6458,IBD025376,2022-12-10,2022-12-10,1,Man vs Wife,Ogun
6459,IBD025412,2022-12-10,2022-12-10,1,Ritual Killing,Lagos
6460,IBD025385,2022-12-10,2022-12-10,2,Police vs Bandits,Kaduna
6461,IBD025396,2022-11-10,2022-11-10,1,Domestic VIolence,Nasarawa
6462,IBD025375,2022-11-10,2022-11-10,1,Widower,Imo
6463,IBD025366,2022-11-10,2022-11-10,1,Lightning Kill 1,Ondo
6464,IBD025364,2022-11-10,2022-11-10,19,Army vs Boko Haram,Borno
6465,IBD025451,2022-11-10,2022-11-10,10,Army vs Bandits,Katsina
6466,IBD025380,2022-11-10,2022-11-10,1,Police vs Kidnapper,Plateau
6467,IBD025643,2022-11-10,2022-11-10,1,Man vs Boy,Bauchi
6468,IBD025358,2022-11-10,2022-11-10,24,Army vs Boko Haram,Borno
6469,IBD025355,2022-10-10,2022-10-10,1,Man vs Friend,Kano
6470,IBD025357,2022-10-10,2022-10-10,53,Flooding,Delta
6471,IBD025368,2022-10-10,2022-10-10,2,Lightning,Imo
6472,IBD025356,2022-10-10,2022-10-10,1,Electrocution,Niger
6473,IBD025359,2022-10-10,2022-10-10,1,Fulani Attack,Plateau
6474,IBD025371,2022-10-10,2022-10-10,3,Lands Dispute,Delta
6475,IBD025367,2022-10-10,2022-10-10,1,Assailants vs Boy,Lagos
6476,IBD025343,2022-09-10,2022-09-10,5,Gunmen Attack,Plateau
6477,IBD025487,2022-09-10,2022-09-10,1,Man Drowns,Lagos
6478,IBD025342,2022-09-10,2022-09-10,2,Gunmen vs Policemen,Enugu
6479,IBD025350,2022-09-10,2022-09-10,3,Gunmen vs Police,Imo
6480,IBD025353,2022-09-10,2022-09-10,32,NAF Aircraft vs Terrorists,Kaduna
6481,IBD025281,2022-09-10,2022-09-10,12,Vigilante vs Bandits,Taraba
6482,IBD025351,2022-09-10,2022-09-10,2,Flooding,Bayelsa
6483,IBD025346,2022-09-10,2022-09-10,1,Gunmen vs Expatriate,Ebonyi
6484,IBD025348,2022-09-10,2022-09-10,4,Flooding,Delta
6485,IBD025372,2022-09-10,2022-09-10,1,Kidnapped Victim,Oyo
6486,IBD025466,2022-08-10,2022-10-15,23,Flooding,Kano
6487,IBD025344,2022-08-10,2022-08-10,2,Gunmen vs Youth Leader,Enugu
6488,IBD025352,2022-08-10,2022-08-10,1,Medical Negligence,Ondo
6489,IBD025360,2022-08-10,2022-08-10,1,Stray Bullet,(FCT) Abuja
6490,IBD025323,2022-08-10,2022-08-10,1,Auto Crash,Abia
6491,IBD025324,2022-08-10,2022-08-10,5,Mysterious Death,Enugu
6492,IBD025322,2022-08-10,2022-08-10,27,Police vs Bandits,Katsina
6493,IBD025349,2022-08-10,2022-08-10,10,Communal Clash,Nasarawa
6494,IBD025341,2022-08-10,2022-09-10,10,Herdsmen vs Farmers,Nasarawa
6495,IBD025485,2022-08-10,2022-10-15,6,Snake Bite,Gombe
6496,IBD025365,2022-08-10,2022-08-10,1,Man vs Toddler,Lagos
6497,IBD025347,2022-08-10,2022-08-10,1,Assailants vs Traditional Chief,Osun
6498,IBD025337,2022-08-10,2022-08-10,8,Auto Crash,Plateau
6499,IBD025370,2022-07-10,2022-07-10,6,Flooding,Anambra
6500,IBD025339,2022-07-10,2022-07-10,3,Auto Crash,Niger
6501,IBD025330,2022-07-10,2022-07-10,4,Gas Explosion/Inferno,Kogi
6503,IBD025340,2022-07-10,2022-07-10,3,Flooding,Kwara
6504,IBD025527,2022-07-10,2022-07-10,9,Herdsmen Attack,Nasarawa
6505,IBD025810,2022-07-10,2022-07-10,1,Political Issues,Akwa Ibom
6506,IBD025756,2022-07-10,2022-07-10,1,Brothers vs Friend,Lagos
6507,IBD025331,2022-07-10,2022-07-10,3,Gunmen Attack,Imo
6508,IBD025952,2022-07-10,2022-07-10,1,Kidnappers vs Man,Ogun
6509,IBD025388,2022-07-10,2022-07-10,8,Flooding,Delta
6510,IBD025329,2022-07-10,2022-07-10,3,Flooding,Enugu
6511,IBD025338,2022-06-10,2022-06-10,1,Flooding,Kwara
6512,IBD025361,2022-06-10,2022-06-10,1,Surveyor,(FCT) Abuja
6513,IBD025306,2022-06-10,2022-06-10,2,Auto Crash,Ogun
6514,IBD025336,2022-06-10,2022-07-10,3,Flooding,Kwara
6515,IBD025315,2022-06-10,2022-06-10,1,Lady in The Hotel,Oyo
6516,IBD025332,2022-05-10,2022-05-10,23,Flooding,Benue
6517,IBD025312,2022-05-10,2022-05-10,1,Cult Clash,Edo
6518,IBD025465,2022-05-10,2022-05-10,13,Flooding,Adamawa
6519,IBD025333,2022-05-10,2022-05-10,6,Flooding,Kwara
6520,IBD025311,2022-05-10,2022-05-10,3,Cult Clash,Edo
6521,IBD025334,2022-05-10,2022-05-10,23,Flooding,Niger
6522,IBD025307,2022-05-10,2022-05-10,25,Drown,Zamfara
6523,IBD025313,2022-05-10,2022-05-10,1,Cult Attack,Kwara
6524,IBD025305,2022-04-10,2022-04-10,1,Auto Crash,Jigawa
6525,IBD025303,2022-04-10,2022-04-10,1,Flooding,Anambra
6526,IBD025304,2022-04-10,2022-04-10,1,Auto Crash,Ondo
6527,IBD025239,2022-04-10,2022-04-10,2,Auto Crash,Ondo
6528,IBD025295,2022-04-10,2022-04-10,6,Cult War,Cross River
6529,IBD025291,2022-04-10,2022-04-10,3,Army vs Youths,Delta
6530,IBD025300,2022-03-10,2022-03-10,3,Boat Mishap,Kogi
6531,IBD025284,2022-03-10,2022-03-10,4,Auto Crash,Edo
6532,IBD025292,2022-03-10,2022-03-10,5,Family Members,Kogi
6533,IBD025289,2022-03-10,2022-03-10,3,Boko Haram Attack,Borno
6534,IBD025301,2022-03-10,2022-03-10,1,Gunmen vs Cleric,Kwara
6535,IBD025288,2022-03-10,2022-03-10,40,Boko Haram Attack,Borno
6536,IBD025299,2022-03-10,2022-03-10,3,Auto Crash,Kaduna
6537,IBD025290,2022-03-10,2022-03-10,2,Explosion,Rivers
6538,IBD025276,2022-02-10,2022-02-10,2,Mob vs POS Thieves,Lagos
6539,IBD025277,2022-02-10,2022-02-10,3,Flood Incident,Delta
6540,IBD025285,2022-02-10,2022-02-10,1,Peace Maker,Ondo
6541,IBD025280,2022-02-10,2022-02-10,1,Gunshot Charm,Kwara
6542,IBD025274,2022-02-10,2022-02-10,1,Electrocution,Lagos
6543,IBD025374,2022-02-10,2022-02-10,1,Kidnappers vs Man,Kano
6544,IBD025698,2022-02-10,2022-02-10,2,Flooding,Kwara
6545,IBD025279,2022-01-10,2022-01-10,1,Flood Disaster,Anambra
6546,IBD025275,2022-01-10,2022-01-10,1,Dogs Kill Man,Lagos
6547,IBD025297,2022-01-10,2022-01-10,1,Woman vs Stepdaughter,Katsina
6548,IBD025390,2022-01-10,2022-01-10,1,Man vs Friend,Anambra
6549,IBD025272,2022-01-10,2022-01-10,2,Mob vs Herders,Kaduna
6550,IBD025271,2022-01-10,2022-01-10,2,Auto Crash,Ogun
6551,IBD025697,2022-01-10,2022-01-10,3,Flooding,Kwara
6552,IBD025542,2022-01-10,2022-10-31,15,Fire Disaster,Kano
6553,IBD025269,2022-01-10,2022-01-10,15,Boat Mishap,Taraba
6554,IBD025286,2022-09-30,2022-09-30,3,Witchcraft,Kogi
6555,IBD025283,2022-09-30,2022-02-10,4,Food Poisoning,Kogi
6556,IBD025287,2022-09-29,2022-09-29,1,Rape Victim,Kano
6557,IBD025302,2022-09-29,2022-09-30,1,Rainfall,Kwara
6558,IBD025266,2022-09-29,2022-09-29,40,Soldiers vs Boko Haram,Borno
6559,IBD025328,2022-09-29,2022-06-10,6,Flooding,Kogi
6560,IBD025264,2022-09-29,2022-09-30,2,Flood Incident,Kwara
6561,IBD025259,2022-09-29,2022-09-29,1,Army vs Community,Anambra
6562,IBD025326,2022-09-29,2022-06-10,7,Flooding,Kogi
6563,IBD025308,2022-09-29,2022-09-29,1,Woman vs Grand Daughter,Anambra
6564,IBD025318,2022-09-29,2022-06-10,8,Flooding,Katsina
6565,IBD025696,2022-09-29,2022-09-29,1,Flooding,Kwara
6566,IBD025321,2022-09-29,2022-06-10,8,Flooding,Katsina
6567,IBD025327,2022-09-29,2022-06-10,5,Flooding,Kogi
6568,IBD025563,2022-09-29,2022-09-29,1,Domestic Violence,Akwa Ibom
6569,IBD025325,2022-09-29,2022-06-10,5,Flooding/Boat Mishap,Kogi
6570,IBD025257,2022-09-29,2022-09-29,4,Auto Crash,Bauchi
6571,IBD025263,2022-09-29,2022-09-29,40,Terrorists vs Bandits,Kaduna
6572,IBD025320,2022-09-29,2022-06-10,8,Flooding,Katsina
6573,IBD025256,2022-09-28,2022-09-28,1,Banditry,Kaduna
6574,IBD025204,2022-09-28,2022-09-28,2,Gunmen Attack,Oyo
6575,IBD025255,2022-09-28,2022-09-28,1,Herders vs Farmer,Benue
6576,IBD025237,2022-09-28,2022-09-28,5,Gunmen vs Security Operatives,Anambra
6577,IBD025253,2022-09-28,2022-09-28,1,Bandits vs Farmer,Kaduna
6578,IBD025245,2022-09-28,2022-09-28,3,Transport Workers Clash,Lagos
6579,IBD025249,2022-09-28,2022-09-28,16,Tanker Explosion,Kogi
6580,IBD025265,2022-09-28,2022-09-28,1,INEC Staff Found Dead,Anambra
6581,IBD025248,2022-09-28,2022-09-28,1,Building Collapse,Ondo
6582,IBD025254,2022-09-28,2022-09-28,1,NSCDC Officers vs Kidnapper,Oyo
6583,IBD025735,2022-09-28,2022-09-28,1,Man vs Stepmother,Anambra
6584,IBD025262,2022-09-28,2022-09-28,3,Terrorists vs Soldiers,Zamfara
6585,IBD025258,2022-09-28,2022-09-28,3,Gunmen vs Army,Imo
6586,IBD025231,2022-09-27,2022-09-27,4,Gunmen Kill 4,Enugu
6587,IBD025261,2022-09-27,2022-09-27,1,Terrorist vs Custom Officer,Katsina
6588,IBD025252,2022-09-27,2022-02-10,5,Flooding,Kogi
6589,IBD025240,2022-09-27,2022-09-27,1,Escort Biker,(FCT) Abuja
6590,IBD025236,2022-09-27,2022-09-27,6,Auto Crash,Kebbi
6591,IBD025246,2022-09-27,2022-09-27,31,Vigilantes vs Bandits,Zamfara
6592,IBD025235,2022-09-27,2022-09-27,1,Auto Crash,Rivers
6593,IBD025250,2022-09-27,2022-09-27,1,Cult Attack,Kwara
6594,IBD025225,2022-09-27,2022-09-27,4,Inferno,Rivers
6595,IBD025219,2022-09-26,2022-09-26,1,Bandits vs Police,Katsina
6596,IBD025218,2022-09-26,2022-09-26,1,Brothers vs Motorcycle Thief,Kebbi
6597,IBD025238,2022-09-26,2022-09-26,1,Kidnappers Kill 1,Bauchi
6598,IBD025242,2022-09-26,2022-09-26,3,ISWAP Attack,Borno
6599,IBD025230,2022-09-26,2022-09-26,40,Army vs ISWAP,Yobe
6600,IBD025232,2022-09-26,2022-09-26,2,Auto Crash,Niger
6601,IBD025139,2022-09-25,2022-09-25,1,Communal Clash,Kogi
6602,IBD025217,2022-09-25,2022-09-25,7,Flooding,Kwara
6603,IBD025206,2022-09-25,2022-09-25,4,Auto Crash,Niger
6604,IBD025223,2022-09-25,2022-09-25,1,Banditry,Plateau
6605,IBD025251,2022-09-25,2022-09-25,1,Fake Doctor,Bauchi
6606,IBD025205,2022-09-25,2022-09-25,7,Auto Crash,Lagos
6607,IBD025241,2022-09-25,2022-09-25,1,Medical Negligence,Lagos
6608,IBD025213,2022-09-25,2022-09-25,1,Dead Baby,Jigawa
6609,IBD025428,2022-09-25,2022-09-30,2,Bandits Kill Lecturer and Village Head,Adamawa
6610,IBD025220,2022-09-25,2022-09-25,1,Assailants vs Boy,Plateau
6611,IBD025247,2022-09-25,2022-09-25,1,Motorcyclist vs Passenger,Niger
6612,IBD025216,2022-09-25,2022-09-25,3,Banditry,Zamfara
6613,IBD025244,2022-09-25,2022-09-25,4,Cultists vs Singer,(FCT) Abuja
6614,IBD028580,2022-09-25,2022-09-25,1,Decompose Body Found,Plateau
6615,IBD025211,2022-09-24,2022-09-24,1,Guard vs Machine Operator,(FCT) Abuja
6616,IBD025222,2022-09-24,2022-09-24,1,Banditry,Kaduna
6617,IBD025212,2022-09-24,2022-09-24,1,Boy Drowns,Jigawa
6618,IBD025221,2022-09-24,2022-09-24,2,Banditry,Kaduna
6619,IBD025207,2022-09-24,2022-09-24,1,Police vs Cultists,Plateau
6620,IBD025214,2022-09-24,2022-09-24,1,Teenager vs Friend,Lagos
6621,IBD025469,2022-09-24,2022-09-24,8,Flooding,Abia
6622,IBD025234,2022-09-24,2022-09-24,2,Auto Crash,Abia
6623,IBD025208,2022-09-24,2022-09-24,2,ISWAP vs Traders,Kano
6624,IBD025243,2022-09-24,2022-09-24,1,Mob vs Ritualist,Lagos
6625,IBD025470,2022-09-24,2022-09-24,5,Flooding,Abia
6626,IBD025203,2022-09-23,2022-09-23,2,Building Collapse,Anambra
6627,IBD025194,2022-09-23,2022-09-23,1,Police vs Kidnappers,Edo
6628,IBD025201,2022-09-23,2022-09-23,1,Man vs Step-Daughter,Ondo
6629,IBD025209,2022-09-23,2022-09-23,1,Drug Overdose,Lagos
6630,IBD025200,2022-09-23,2022-09-23,15,Banditry,Zamfara
6631,IBD025193,2022-09-23,2022-09-23,4,Building Collapse,Lagos
6632,IBD025185,2022-09-22,2022-09-22,1,Auto Crash,Lagos
6633,IBD025202,2022-09-22,2022-09-22,1,Hoodlums vs Police,Edo
6634,IBD025429,2022-09-22,2022-09-22,40,Air Force vs Terrorists,Zamfara
6635,IBD025198,2022-09-22,2022-09-22,2,Son vs Parents,Anambra
6636,IBD025317,2022-09-22,2022-09-22,2,Gunmen Attack,Benue
6637,IBD025183,2022-09-21,2022-09-21,1,Wife vs Husband,Kebbi
6638,IBD025179,2022-09-21,2022-09-21,1,Armed Robbers Kill One,Ogun
6639,IBD025188,2022-09-21,2022-09-21,1,Herdsmen,Benue
6640,IBD025190,2022-09-21,2022-09-21,1,Police vs Boy,Plateau
6641,IBD025187,2022-09-21,2022-09-21,14,Herdsmen Attack,Benue
6642,IBD025184,2022-09-21,2022-09-21,1,Armed Robbers vs Man,Kebbi
6643,IBD025191,2022-09-21,2022-09-21,5,Boat Mishap,(FCT) Abuja
6644,IBD025680,2022-09-21,2022-09-21,1,Extrajudicial Killing,Plateau
6645,IBD027844,2022-09-21,2022-09-21,25,Flooding,Bauchi
6646,IBD025167,2022-09-20,2022-09-20,1,Armed Robbers vs Security Guard,Plateau
6647,IBD025177,2022-09-20,2022-09-20,7,Bandits Kill 4,Zamfara
6648,IBD025182,2022-09-20,2022-09-20,9,Boat Capsized,Benue
6649,IBD025314,2022-09-20,2022-09-20,1,Hoodlums vs Police,Ogun
6650,IBD025186,2022-09-20,2022-09-20,7,Army vs Boko Haram,Borno
6651,IBD025176,2022-09-20,2022-09-20,4,Auto Crash,Kogi
6652,IBD025174,2022-09-20,2022-09-20,5,Banditry,Niger
6653,IBD025175,2022-09-20,2022-09-20,3,Kidnappers killed Three,Ondo
6654,IBD025178,2022-09-20,2022-09-20,1,Gunmen vs Woman,Oyo
6655,IBD025793,2022-09-20,2022-09-20,10,Kidnap Victims,Abia
6656,IBD025170,2022-09-19,2022-09-19,1,Factory Worker vs Friend,Lagos
6657,IBD025169,2022-09-19,2022-09-19,1,Gunmen vs Woman,Plateau
6658,IBD025309,2022-09-19,2022-09-19,18,Pastor vs Pregnant Women,Kogi
6659,IBD025157,2022-09-18,2022-09-18,5,Bandits vs Children,Niger
6660,IBD025168,2022-09-18,2022-09-18,1,Armed Robbers vs Security Guard,Plateau
6661,IBD025142,2022-09-18,2022-09-18,19,Auto Crash,(FCT) Abuja
6662,IBD025149,2022-09-18,2022-09-18,2,Banditry,Katsina
6663,IBD025143,2022-09-18,2022-09-18,3,Auto Crash,Ogun
6664,IBD025145,2022-09-18,2022-09-18,1,Auto Crash,Cross River
6665,IBD025158,2022-09-18,2022-09-18,1,Man Dies,Rivers
6666,IBD025156,2022-09-18,2022-09-18,4,Auto Crash,Delta
6667,IBD025154,2022-09-18,2022-09-18,3,Herdsmen Attack,Benue
6668,IBD025159,2022-09-18,2022-09-18,1,Bandits vs Driver,Katsina
6669,IBD025215,2022-09-17,2022-09-17,1,Herder vs Man,Edo
6670,IBD025151,2022-09-17,2022-09-17,1,Boy Drowns,Jigawa
6671,IBD025153,2022-09-17,2022-09-17,1,Man Dies,Jigawa
6672,IBD025152,2022-09-17,2022-09-17,1,Man Drowns,Jigawa
6673,IBD025171,2022-09-17,2022-09-17,1,Teenager vs Girl,Oyo
6674,IBD025172,2022-09-17,2022-09-17,25,ISWAP vs Boko Haram,Borno
6675,IBD025173,2022-09-17,2022-09-18,4,Army vs IPOB/ESN,Imo
6676,IBD025144,2022-09-17,2022-09-17,2,Building Collapse,Akwa Ibom
6677,IBD025293,2022-09-17,2022-09-17,1,Son vs Mother,Ebonyi
6678,IBD025140,2022-09-17,2022-09-17,34,Army vs Bandits,Zamfara
6679,IBD025135,2022-09-17,2022-09-17,1,Building Collapse,Jigawa
6680,IBD025267,2022-09-17,2022-09-17,1,Medical Negligence,(FCT) Abuja
6681,IBD025150,2022-09-17,2022-09-17,2,Friends Drown,Jigawa
6682,IBD027846,2022-09-17,2022-09-17,11,Flooding,Yobe
6683,IBD025137,2022-09-16,2022-09-16,1,Gunmen vs Man,Ebonyi
6684,IBD025130,2022-09-16,2022-09-16,1,Man Drowns,Jigawa
6685,IBD025354,2022-09-16,2022-09-16,1,Chief vs Herbalist,Ogun
6686,IBD025196,2022-09-16,2022-09-16,1,Man vs Debtor,Ebonyi
6687,IBD025125,2022-09-16,2022-09-16,1,Man vs Ex-lover,Kano
6688,IBD025126,2022-09-16,2022-09-16,1,Land Tussle,Delta
6689,IBD025138,2022-09-16,2022-09-16,2,Auto Crash,Gombe
6690,IBD027849,2022-09-16,2022-09-16,23,Flooding,Kano
6691,IBD025117,2022-09-15,2022-09-15,25,Boko Haram vs ISWAP,Borno
6692,IBD025128,2022-09-15,2022-09-15,2,Cultist vs Students,Lagos
6693,IBD025136,2022-09-15,2022-09-15,1,Mob vs Phone Thief,Delta
6694,IBD025118,2022-09-15,2022-09-15,7,Police vs Terrorists,Katsina
6695,IBD025132,2022-09-15,2022-09-15,10,Hoodlum vs Motorcyclists,Osun
6696,IBD025116,2022-09-15,2022-09-15,1,Baby Found Dead,Jigawa
6697,IBD025181,2022-09-15,2022-09-21,36,Army vs Boko Haram,Borno
6698,IBD025119,2022-09-15,2022-09-15,1,Bandits vs Businessman,Katsina
6699,IBD025397,2022-09-15,2022-09-15,10,Army vs IPOB/ESN,Enugu
6700,IBD025609,2022-09-15,2022-09-22,89,Flooding,Bayelsa
6701,IBD025547,2022-09-15,2022-09-15,1,Police vs Driver,Anambra
6702,IBD025115,2022-09-14,2022-09-14,1,Bandits vs Vigilante,Niger
6703,IBD025180,2022-09-14,2022-09-14,2,Hoodlums Kill 2,Ogun
6704,IBD025129,2022-09-14,2022-09-14,2,Sisters Drown,Jigawa
6705,IBD025141,2022-09-14,2022-09-14,1,Assailants vs Man,(FCT) Abuja
6706,IBD025489,2022-09-14,2022-09-14,5,Witchcraft,Cross River
6707,IBD025134,2022-09-14,2022-09-14,1,Youths vs Man,Bayelsa
6708,IBD025122,2022-09-14,2022-09-14,6,Auto Crash,Niger
6709,IBD025113,2022-09-13,2022-09-13,2,Police vs Kidnappers,Kwara
6710,IBD025123,2022-09-13,2022-09-15,35,NAF Troops vs Boko Haram,Borno
6711,IBD025114,2022-09-13,2022-09-13,1,Kidnappers vs Colleague,Kano
6712,IBD025111,2022-09-13,2022-09-13,1,Landslide,Jigawa
6713,IBD025110,2022-09-13,2022-09-13,3,Police vs Kidnappers,Edo
6714,IBD025121,2022-09-13,2022-09-15,30,ATF Troops vs ISWAP,Borno
6715,IBD025092,2022-12-09,2022-12-09,2,Flooding,Lagos
6716,IBD025109,2022-12-09,2022-12-09,3,Herders Attack,Nasarawa
6717,IBD025133,2022-12-09,2022-12-09,3,Banditry,Niger
6718,IBD025103,2022-12-09,2022-12-09,3,Boat Capsized,Taraba
6719,IBD025100,2022-11-09,2022-11-09,10,Army vs Bandits,Kaduna
6720,IBD025091,2022-11-09,2022-11-09,5,Canoe Mishap,Jigawa
6721,IBD025101,2022-11-09,2022-11-09,3,Chieftaincy Tussle,Ogun
6722,IBD025088,2022-11-09,2022-11-09,7,Gunmen vs Policemen,Anambra
6723,IBD025095,2022-11-09,2022-11-09,8,JTF vs Bandits,Katsina
6724,IBD025089,2022-11-09,2022-11-09,1,Assailant vs Man,Enugu
6725,IBD025127,2022-11-09,2022-11-09,1,Kidnappers vs Man,Edo
6726,IBD025105,2022-11-09,2022-12-09,2,Flooding,Niger
6727,IBD025373,2022-11-09,2022-11-09,1,Auto Crash,Imo
6728,IBD025097,2022-11-09,2022-11-09,1,Assailants vs Octogenarian,Adamawa
6729,IBD025104,2022-11-09,2022-12-09,6,Flooding,Niger
6730,IBD025093,2022-11-09,2022-11-09,1,Police vs Kidnapper,Edo
6731,IBD025102,2022-11-09,2022-11-09,10,Army vs Bandits,Kaduna
6732,IBD025106,2022-11-09,2022-12-09,1,Flooding,Niger
6733,IBD025094,2022-11-09,2022-11-09,7,Army vs Boko Haram,Borno
6734,IBD025112,2022-11-09,2022-11-09,1,Assailants vs Boy,Osun
6735,IBD025166,2022-10-09,2022-09-17,1,Flooding,Niger
6736,IBD025161,2022-10-09,2022-09-17,2,Flooding,Niger
6737,IBD025163,2022-10-09,2022-09-17,1,Flooding,Niger
6738,IBD025162,2022-10-09,2022-09-17,2,Flooding,Niger
6739,IBD025160,2022-10-09,2022-09-17,6,Flooding,Niger
6740,IBD025087,2022-10-09,2022-10-09,1,Security Guard vs Man,Osun
6741,IBD025165,2022-10-09,2022-09-17,1,Flooding,Niger
6742,IBD025085,2022-10-09,2022-10-09,3,Mysterious Death,Anambra
6743,IBD025099,2022-10-09,2022-10-09,10,Army vs Boko Haram,Borno
6744,IBD025164,2022-10-09,2022-09-17,1,Flooding,Niger
6745,IBD025080,2022-09-09,2022-09-09,18,Auto Crash,Oyo
6746,IBD025075,2022-09-09,2022-09-09,2,Auto Crash,Ogun
6747,IBD025098,2022-09-09,2022-09-09,10,Army vs Boko Haram,Borno
6748,IBD025084,2022-09-09,2022-10-09,4,Assailants Attack,Benue
6749,IBD025090,2022-09-09,2022-10-09,2,Security Operatives vs Community,Rivers
6750,IBD025079,2022-08-09,2022-08-09,1,Auto Crash,Ondo
6751,IBD025077,2022-08-09,2022-08-09,2,Fence Collapsed,Lagos
6752,IBD025427,2022-08-09,2022-08-09,10,Air Force vs Bandits,Niger
6753,IBD025082,2022-08-09,2022-08-09,1,Ritual Killing,Plateau
6754,IBD025076,2022-08-09,2022-08-09,3,Gunmen Kill 4,Kogi
6755,IBD025558,2022-08-09,2022-08-09,1,Auto Crash,Lagos
6756,IBD025426,2022-08-09,2022-08-09,40,Air Force vs Boko Haram,Borno
6757,IBD025083,2022-08-09,2022-08-09,1,Militants vs Villagers,Bayelsa
6758,IBD025052,2022-08-09,2022-08-09,2,Robbers vs Community,Bayelsa
6759,IBD025425,2022-08-09,2022-08-09,52,Army vs Boko Haram,Borno
6760,IBD025061,2022-08-09,2022-08-09,7,Building Collapse,Oyo
6761,IBD025047,2022-07-09,2022-07-09,4,Auto Crash,Ogun
6762,IBD025064,2022-07-09,2022-07-09,3,Auto Crash,Ogun
6763,IBD025071,2022-07-09,2022-07-09,10,Army vs Boko Haram,Katsina
6764,IBD025055,2022-07-09,2022-07-09,5,5 Drown,Jigawa
